field_name,age_min,age_max,sex,low_value,high_value,critical_low,critical_high
systolic_bp,0,0,any,72,104,50,120
systolic_bp,1,1,M,86,101,60,130
systolic_bp,1,1,F,85,102,60,130
systolic_bp,2,2,M,86,98,60,130
systolic_bp,2,2,F,89,106,60,130
systolic_bp,3,3,M,92,105,60,130
systolic_bp,3,3,F,90,107,60,130
systolic_bp,4,4,M,98,113,60,130
systolic_bp,4,4,F,92,108,60,130
systolic_bp,5,5,M,104,120,60,130
systolic_bp,5,5,F,93,110,60,130
systolic_bp,6,6,M,111,127,65,140
systolic_bp,6,6,F,91,108,65,140
systolic_bp,7,7,M,116,134,65,140
systolic_bp,7,7,F,92,110,65,140
systolic_bp,8,8,M,120,140,65,140
systolic_bp,8,8,F,94,112,65,140
systolic_bp,9,9,M,125,145,65,140
systolic_bp,9,9,F,95,114,65,140
systolic_bp,10,10,M,130,151,65,140
systolic_bp,10,10,F,97,116,65,140
systolic_bp,11,11,M,135,157,65,140
systolic_bp,11,11,F,99,118,65,140
systolic_bp,12,12,M,141,164,65,140
systolic_bp,12,12,F,100,120,65,140
systolic_bp,13,17,M,102,124,70,140
systolic_bp,13,17,F,102,121,70,140
systolic_bp,18,999,any,90,120,70,180
diastolic_bp,0,0,any,37,56,20,90
diastolic_bp,1,1,M,41,54,20,90
diastolic_bp,1,1,F,42,58,20,90
diastolic_bp,2,2,M,44,58,20,90
diastolic_bp,2,2,F,48,62,20,90
diastolic_bp,3,3,M,47,61,20,90
diastolic_bp,3,3,F,50,65,20,90
diastolic_bp,4,4,M,50,64,20,90
diastolic_bp,4,4,F,53,67,20,90
diastolic_bp,5,5,M,53,67,20,90
diastolic_bp,5,5,F,55,70,20,90
diastolic_bp,6,6,M,59,73,20,90
diastolic_bp,6,6,F,59,73,20,90
diastolic_bp,7,7,M,60,74,20,90
diastolic_bp,7,7,F,60,74,20,90
diastolic_bp,8,8,M,60,75,20,90
diastolic_bp,8,8,F,60,75,20,90
diastolic_bp,9,9,M,61,75,20,90
diastolic_bp,9,9,F,61,76,20,90
diastolic_bp,10,10,M,62,76,20,90
diastolic_bp,10,10,F,62,77,20,90
diastolic_bp,11,11,M,62,77,20,90
diastolic_bp,11,11,F,63,78,20,90
diastolic_bp,12,12,M,63,78,20,90
diastolic_bp,12,12,F,64,78,20,90
diastolic_bp,13,17,M,64,80,20,90
diastolic_bp,13,17,F,64,79,20,90
diastolic_bp,18,999,any,60,80,40,120
heart_rate,0,0,any,100,170,60,200
heart_rate,1,2,any,80,150,50,200
heart_rate,3,5,any,70,130,50,180
heart_rate,6,12,any,65,120,40,160
heart_rate,13,17,any,55,90,40,150
heart_rate,18,999,any,60,100,40,150
respiratory_rate,0,0,any,30,60,20,70
respiratory_rate,1,2,any,24,40,15,60
respiratory_rate,3,5,any,20,34,12,50
respiratory_rate,6,12,any,15,30,10,45
respiratory_rate,13,17,any,12,20,8,35
respiratory_rate,18,999,any,12,20,8,30
oxygen_saturation,0,999,any,95,100,88,100
temperature_f,0,999,any,97.8,99.1,95,104
